Date of Interview,Client name,Industry,Location,Position to be closed,Nature of Skillset,Interview Type,Name(Cand ID),Gender,Candidate Current Location,Candidate Job Location,Interview Venue,Candidate Native location,Have you obtained the necessary permission to start at the required time,Hope there will be no unscheduled meetings,Can I Call you three hours before the interview and follow up on your attendance for the interview,Can I have an alternative number/ desk number. I assure you that I will not trouble you too much,Have you taken a printout of your updated resume. Have you read the JD and understood the same,Are you clear with the venue details and the landmark.,Has the call letter been shared,Expected Attendance,Observed Attendance,Marital Status,,,,,
13.02.2015,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,Candidate 1,Male,Chennai,Hosur,Hosur,Hosur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
13.02.2015,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,Candidate 2,Male,Chennai,Bangalore,Hosur,Trichy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
13.02.2015,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,Candidate 3,Male,Chennai,Chennai,Hosur,Chennai,NA,Na,NA,NA,NA,NA,NA,Uncertain,No,Single,,,,,
13.02.2015,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,Candidate 4,Male,Chennai,Chennai,Hosur,Chennai,Yes,Yes,No,Yes,No,Yes,Yes,Uncertain,No,Single,,,,,
13.02.2015,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,Candidate 5,Male,Chennai,Bangalore,Hosur,Chennai,Yes,Yes,Yes,No,Yes,Yes,Yes,Uncertain,No,Married,,,,,
13.02.2015,Aon Hewitt,IT Services,Gurgaon,Selenium testing,Routine,Scheduled Walkin,Candidate 6,Male,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
13.02.2015,Aon Hewitt,IT Services,Gurgaon,Selenium testing,Routine,Scheduled Walkin,Candidate 7,Male,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
13.02.2015,Aon Hewitt,IT Services,Gurgaon,Selenium testing,Routine,Scheduled Walkin,Candidate 8,Female,Gurgaon,Gurgaon,Gurgaon,Noida,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
13.02.2015,Aon Hewitt,IT Services,Gurgaon,Selenium testing,Routine,Scheduled Walkin,Candidate 9,Male,Gurgaon,Gurgaon,Gurgaon,Delhi /NCR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
13.02.2015,Aon Hewitt,IT Services,Gurgaon,Selenium testing,Routine,Scheduled Walkin,Candidate 10,Female,Gurgaon,Gurgaon,Gurgaon,Delhi /NCR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 11,Male,Bangalore,Bangalore,Bangalore,Cochin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 12,Female,Bangalore,Bangalore,Bangalore,Trivandrum,No,Yes,No,No,Yes,Yes,Yes,Uncertain,No,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 13,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 14,Male,Bangalore,Bangalore,Bangalore,Trivandrum,No,Yes,Yes,Yes,Yes,Yes,Havent Checked,Uncertain,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 15,Male,Bangalore,Bangalore,Bangalore,Cochin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 16,Female,Bangalore,Bangalore,Bangalore,Cochin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 17,Female,Bangalore,Bangalore,Bangalore,Trivandrum,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 18,Female,Bangalore,Bangalore,Bangalore,Bangalore,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 19,Male,Bangalore,Bangalore,Bangalore,Cochin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single,,,,,
19.06.2015,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,Candidate 20,Male,Bangalore,Bangalore,Bangalore,Cochin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single,,,,,
